ticker,basis,oos_r_squared,residual_volatility,n_factors
EFA,gamma,0.7868716277220057,0.07632808328631399,4
EEM,gamma,0.6429687284043633,0.11713984116941074,4
AGG,gamma,0.6685892790823449,0.03583505122530486,4
SHY,gamma,0.3659766899426615,0.01628468476057064,4
IEF,gamma,0.7335632233187096,0.04010369639498944,4
TLT,gamma,0.7139689097699335,0.08361232279064978,4
TIP,gamma,0.6722701878550481,0.035014688995761045,4
LQD,gamma,0.7267155260426179,0.04543822787782612,4
HYG,gamma,0.5932352868748108,0.048948028708940695,4
VNQ,gamma,0.47956041699033547,0.13829314445692753,4
GLD,gamma,0.3922038138839561,0.14860744198662554,4
DBC,gamma,0.7424572475058309,0.09398276992744492,4
UUP,gamma,0.7416985921494994,0.03747166027257711,4
ACWI,nonlinear,0.8748572819277982,0.057450445089805,4
SPY,nonlinear,0.8060104718483323,0.07591110618526417,4
DIA,nonlinear,0.7550909614757729,0.07357647327702618,4
QQQ,nonlinear,0.697290363800206,0.12586577406412433,4
IWM,nonlinear,0.6900325043617245,0.12452687338835222,4
EFA,nonlinear,0.789674349587289,0.07607429517356089,4
EEM,nonlinear,0.6461628803805944,0.1168723895540232,4
AGG,nonlinear,0.669324688123466,0.03583821429781335,4
SHY,nonlinear,0.37101557040182753,0.016271667308120564,4
IEF,nonlinear,0.7342721911188954,0.04006283251827794,4
TLT,nonlinear,0.7132881143278682,0.08358537479638799,4
TIP,nonlinear,0.6703790862771022,0.03505369559063671,4
LQD,nonlinear,0.7266969158937098,0.04544519251492988,4
HYG,nonlinear,0.5951892151227389,0.04897056139364657,4
VNQ,nonlinear,0.4787597734032689,0.1383585771814093,4
GLD,nonlinear,0.39418459745070067,0.14847686794444856,4
DBC,nonlinear,0.7439363655863329,0.09387533034036535,4
UUP,nonlinear,0.7445463254418477,0.0374187200679453,4
ACWI,linear,0.8794910408404601,0.055674133193565435,5
SPY,linear,0.8189896059968559,0.07272009280870351,5
DIA,linear,0.7664221173113224,0.07149747630830013,5
QQQ,linear,0.6971333970813007,0.1252954367965765,5
IWM,linear,0.7109169364412649,0.12004809686601135,5
EFA,linear,0.798680810347778,0.07396101615417583,5
EEM,linear,0.6340360596433361,0.11860994697411638,5
AGG,linear,0.7159633694321377,0.03320442441891283,5
SHY,linear,0.3878324578421207,0.01602340315389098,5
IEF,linear,0.7594716615271883,0.03811721460441721,5
TLT,linear,0.7445152868909202,0.07895244502053289,5
TIP,linear,0.6823100611909143,0.03447489500393667,5
LQD,linear,0.786442653771122,0.04019415025586207,5
HYG,linear,0.6176198602898871,0.047467828365191506,5
VNQ,linear,0.6376320158081844,0.11539391133976908,5
GLD,linear,0.4628647838752973,0.13977641147425915,5
DBC,linear,0.7225219712326894,0.09762592110400249,5
UUP,linear,0.709301058442265,0.03977181414864994,5
ACWI,gamma,0.8640627346511169,0.059233002819980236,5
SPY,gamma,0.8024817478169839,0.07606499830478676,5
DIA,gamma,0.7494412247548372,0.07411111136261159,5
QQQ,gamma,0.6903840219260388,0.1267601324101199,5
